duaid,variant_id,insurance_net_gp_usd
0001acb3-1885-448d-91a3-e57892ad0474,0,0
000e975a-a5cb-4779-89b5-a499bea52324,0,0
000f015c-54ec-47d9-ab05-9c271c4fea0d,0,0
0021d51e-0b94-4ce3-97b9-94a0286d36bb,0,0
00288a75-0cb8-4667-b0b2-10a51b143fe4,0,0
002a96f2-ebdf-46f8-a389-27461da15b39,0,0
003d3886-50b2-4584-bb62-15abee6fdcd6,0,0
005b4bdf-e0e3-47db-841d-e4cf0a95045a,0,0
00973d30-1b85-4226-8f84-355c3c4c8013,0,0
009e8bc6-a872-41e6-b2b4-17e21c166ac6,0,0
00b16e5a-988d-4d1c-9c99-b7b8b872290c,0,0
00cfd592-c35c-40d0-9ef9-71cef068c875,0,0
00d98990-0477-4609-acac-4876d0a4aa5d,0,0
00f9125e-5120-48ba-8c2b-ecbae7890ba8,0,7.4145
0113c800-3af8-419c-90ae-9d7bbcb4440d,0,0
011ebee5-6cc7-416f-ad28-3d3e212f0f0e,0,0
012e34c4-66cd-41a1-b909-ce3cad9fbff7,0,0
01305433-aafe-44ec-94a1-9eaf6d49a6ed,0,0
0150e297-bb56-4e12-8986-13f85f37fb69,0,0
0160cced-61df-4fa4-8f17-03536f113f1a,0,0
016a5490-d43c-4d38-afa9-dbfe40de3d00,0,18.0555
016ca2ad-c703-4135-9a14-131bb522d0f9,0,0
01792e94-216c-4fa8-bb3d-0553df4f07be,0,0
019ed135-564d-4684-b2dc-cdae04963919,0,0
01a27c41-8062-44d9-8c89-fb0473fd1eb3,0,0
01a45b7f-05d7-41ed-bfbc-3c0dbc05e473,0,0
01b17d89-d391-41cc-a6ac-98b69b2e9a89,0,0
01b3bc08-4cfb-4e1d-a0e0-c31be0164a01,0,0
01ba8a75-dfa4-4103-8cfb-681e4f6b1de6,0,0
01c4e44d-14ea-48b4-9712-ba5becaa217d,0,0
01c73df5-86da-448e-9a0a-283ee0c7f9f2,0,0
01c7e5d3-deee-4a10-a57d-3ce6f25487a8,0,0
01c8f252-b2a3-41b3-90bc-2ea1f4372264,0,0
01ce4ed7-de2c-4c3a-9a1e-a90cf57c2029,0,0
0212458e-1aa8-48a3-8222-9b015c431d98,0,0
022c1fe3-0bf0-4415-b606-cb36fbec3e97,0,0
022e372f-b06a-450e-aab1-bc5ade8ad4d6,0,21.7972
02398fba-ba5e-4f59-943c-8823d4fd9bdf,0,0
023a4cec-26af-43d1-9530-81ec49949a8c,0,0
023dc982-2b90-4a52-b01e-d6d77b8be19d,0,0
