duaid,variant_id,insurance_net_gp_usd
00016215-11d9-49b8-8b88-ebf834221855,1,0
001d8a7f-9f8b-43ff-bd0e-39f46640f682,1,0
0020872b-42ca-4941-892c-21c994879ed7,1,0
003ccc4e-24d2-4e2e-81ef-d1b362dd293d,1,0
004daf22-f645-421b-85d8-ff90edc5f2b3,1,0
0051e368-a721-4f20-b0bc-04fafca321e3,1,0
00602125-c84e-45dd-b26c-ad8359b0cfbf,1,37.1103
006e8033-ff95-432d-a555-fdf76b6ae12e,1,0
007381c7-24b5-4ac0-96f3-fe2659a204b9,1,0
0085df5c-a610-45c2-beec-6373ce669ab6,1,0
0089abb4-e5cd-470c-8b23-5a3a0d22eb30,1,0
00947d14-bb4e-469a-b6bf-4f1f7b30a1ba,1,0
00973d30-1b85-4226-8f84-355c3c4c8013,1,0
00ac5270-b837-49ea-b05b-a8a28609055b,1,0
00d1a7b8-c5c3-4635-a904-268b1ca9fd90,1,6.3887
00e8a1a6-41f1-46ea-ae94-2cf8995850ca,1,0
00eb0286-707d-4f49-9f24-8a248d988114,1,0
00f03422-a61f-4e28-b95f-9c39db9e5bc6,1,0
00f16ab2-2a68-420b-858f-52a6193e67d4,1,13.7436
00f2a4f2-0963-4f77-a325-9fd554d43e3f,1,0
010ea2c2-75b9-4c53-a9eb-d520f6f0f7ca,1,0
013dc26d-4889-471e-8f24-79eab98526b9,1,0
013fe9c0-d976-44f8-a894-443fb8d82c07,1,155.3785
01512034-c8f3-4125-8868-a3b6a5a2a71d,1,0
01876da3-751a-4025-93b2-de808f6c8b81,1,0
018acb4e-8045-4e5b-a1c4-fc1887ba7a1f,1,0
01a48ab1-5d3d-42e2-a551-1860d5fb8242,1,0
01b18095-6582-453a-be9f-577736a467ef,1,0
01cfe3d1-706e-4558-a7c4-15d304d2212a,1,0
01e3a077-6d93-4cc8-b5aa-3e6c2512913f,1,0
01e4d205-3ce9-4556-8538-19e9d14a4dea,1,0
01f39a9d-39c4-4dd8-a28f-f44695df87bd,1,0
020839b8-4b9f-4f53-8bc3-01b9bf545c42,1,0
020a248e-9f76-43b9-a3ce-401d6ee60f30,1,0
0216697b-3304-4677-9ebd-0ada866cd157,1,0
0221a3f0-a2c7-48d0-ae98-a46e60a318fc,1,0
025c8574-bb62-4266-9e92-b918311d210d,1,0
0289e0c3-e113-4d9f-8523-750c2f123609,1,0
028b73db-3367-4fa6-99b1-f5bb79b9a5a6,1,0
029e9a19-9054-4120-9de0-617213c2806c,1,0
02a76ebc-5da8-4bf9-b943-5d38a8795d8b,1,0
02a8f82c-5269-4496-b6c8-9928c14f8d2c,1,22.7573
